word,frequency
рукой,2497757
впрочем,2473599
легко,2470172
понять,2468396
сил,2464928
скоро,2441660
откуда,2440086
числе,2440016
помощью,2438021
спросила,2437538
знать,2436988
моего,2424570
своему,2409963
силу,2406055
происходит,2404182
годы,2398869
нами,2396793
отношения,2396684
наиболее,2390538
постоянно,2372039
несмотря,2359885
решение,2356981
увидел,2355750
действия,2352961
отца,2346541
вопросы,2342970
любви,2325657
мама,2320196
вроде,2306889
меньше,2306458
будем,2304048
рис,2297108
тихо,2292992
далеко,2285178
нашего,2279230
руках,2278546
двери,2265720
значение,2263223
управления,2260828
глаз,2256217
руками,2251180
первой,2242522
вами,2241644
тела,2240050
денег,2239840
женщины,2239482
четыре,2226207
новый,2218057
придется,2213474
страны,2211861
землю,2206550
дети,2198218
общества,2197462
средств,2193168
медленно,2189720
причем,2185533
заметил,2174988
соответствии,2173215
прав,2172341
порядке,2161000
внутри,2158979
являются,2155021
говорят,2151053
главное,2149701
видно,2147576
земле,2146751
возможности,2145887
наших,2145037
ребенка,2141665
чтоб,2141354
посмотрел,2139958
количество,2139578
стоял,2130396
самым,2129172
столько,2126967
полностью,2125397
мысль,2125049
удалось,2120521
взял,2119796
роль,2118891
новые,2115420
решения,2115196
речь,2111056
столь,2110737
период,2105996
слов,2089178
закона,2085793
мужчина,2066397
вовсе,2066114
доме,2065989
группы,2062113
часов,2056011
трех,2055364
проблемы,2051637
сын,2050461
виду,2042952
хочешь,2041658
другого,2038962
стать,2037092
думал,2023543
другим,2009327
одном,2008752
тысяч,2001815
ладно,2001363
вышел,1999101
ту,1995407
счет,1988234
другом,1984933
завтра,1983606
государства,1980589
пришел,1968294
идти,1966632
работе,1965661
любой,1958632
го,1956808
результате,1951879
подумал,1951142
иметь,1950946
голове,1950342
информации,1949372
многих,1948055
книги,1947944
лиц,1947743
одновременно,1947032
каждого,1944861
невозможно,1942499
точки,1940861
последний,1939409
известно,1935667
ради,1932811
работа,1932110
какая,1931537
бога,1927660
пару,1925641
видеть,1924839
произнес,1922000
души,1921316
очередь,1917843
говоря,1910023
хочет,1904112
никаких,1898021
пошел,1897214
компании,1893511
никак,1893233
находится,1891936
конца,1890349
дать,1888526
вниз,1887879
десять,1885135
глазах,1884207
кстати,1883308
взять,1882046
вскоре,1880056
спокойно,1878139
положение,1876134
помощи,1872945
моих,1871446
степени,1870024
мою,1865697
труда,1864712
государственной,1863152
стол,1862543
разных,1860009
становится,1857322
оказался,1844867
другое,1843072
благодаря,1842759
вещи,1836791
твой,1827439
час,1820980
оба,1820327
самых,1819837
ясно,1811247
давай,1806192
кому,1804293
первого,1803023
практически,1801616
процесс,1795962
плохо,1794535
случилось,1794113
можете,1793588
условиях,1792681
трудно,1792584
века,1790870
сквозь,1790862
спасибо,1789427
бывает,1788831
отношении,1784611
согласно,1784585
внимания,1782511
понимаю,1782109
важно,1776463
однажды,1776120
кивнул,1770689
зрения,1770164
оказалось,1764175
формы,1757088
работать,1755328
ваш,1749484
рода,1744630
имеют,1744549
далее,1743796
крови,1741071
похоже,1740608
молодой,1740159
утром,1740051
явно,1739615
армии,1739024
гораздо,1738709
ответила,1737436
двадцать,1736885
СССР,1735630
новых,1734940
последние,1734642
состоянии,1732486
нового,1732356
самые,1730886
сына,1726444
комнату,1724994
форме,1722067
суда,1719754
язык,1719553
настолько,1718243
помощь,1714763
сих,1714409
состояние,1714248
смерть,1712089
матери,1711989
движения,1706834
всему,1706806
смотрел,1706473
взглядом,1705529
впервые,1704636
использовать,1699795
история,1692564
система,1690792
разговор,1687258
народ,1683262
резко,1681771
знаете,1680506
основе,1679865
получить,1679681
число,1678368
знала,1677706
жена,1670875
волосы,1670592
пол,1670422
человеком,1663854
глядя,1661010
цели,1656566
таком,1655741
всеми,1655400
света,1652510
солнце,1650399
правильно,1649797
федерального,1649449
существует,1649379
де,1648594
имени,1641955
ваше,1640384
данных,1633889
мимо,1632067
где-то,1631743
новой,1631681
различных,1618750
хотела,1618727
помочь,1618574
воду,1617104
другими,1616625
къ,1616135
дни,1615374
никого,1614469
территории,1614189
думать,1613115
видимо,1611603
раза,1611287
ситуации,1611194
которому,1610399
произошло,1610127
минуту,1609992
наша,1608066
средства,1607766
первым,1603126
станет,1601850
обязательно,1601713
кровь,1601565
лицом,1586393
типа,1584219
поле,1578555
неожиданно,1577650
статьи,1577604
чаще,1576445
такую,1574674
случаях,1573715
ночью,1573354
возле,1571392
получил,1562034
людям,1562009
срок,1561071
развитие,1560562
головы,1559543
часа,1559388
интересно,1558704
успел,1554658
отсюда,1554061
случай,1553445
общем,1552789
вечером,1551598
обратно,1550991
зато,1548688
закон,1546670
словами,1545637
образования,1545508
путем,1545171
власть,1544622
улыбнулся,1540723
безопасности,1540440
осталось,1540072
порядок,1539189
производства,1538863
церкви,1538096
говорю,1537091
понятно,1537029
парень,1534735
слегка,1534252
характер,1533866
письмо,1533534
никакого,1531977
говорили,1528295
стены,1526775
США,1523618
вижу,1522553
море,1519985
некоторых,1518943
дал,1516148
поняла,1515584
какое,1512001
князь,1510012
дает,1508808
правило,1508579
книга,1508454
уровень,1507259
подошел,1505226
могло,1502749
населения,1498569
органов,1498148
начале,1493038
вверх,1491384
машины,1491200
комнате,1490475
насколько,1489131
нескольких,1487013
брат,1483082
людьми,1482540
каким,1482434
груди,1481375
какъ,1480405
сидел,1480261
дел,1479848
смысле,1478812
свете,1478645
чувство,1476560
ниже,1470991
дочь,1468489
разные,1463115
готов,1462290
вчера,1457516
городе,1456212
можешь,1454930
неужели,1454742
имел,1454562
остается,1453473
капитан,1450468
следующий,1449820
каждой,1442986
действий,1442146
народа,1434733
лице,1434287
ваши,1433696
вернулся,1430339
ночи,1430289
первые,1429820
можем,1424119
культуры,1422775
ребенок,1422250
первую,1422091
будешь,1420693
окна,1418544
значения,1418347
делает,1416910
номер,1413673
условия,1412564
воздух,1412360
узнать,1412151
связь,1412031
семьи,1411290
напротив,1411159
принять,1409521
кем,1405239
деятельность,1403210
женщин,1402286
голосом,1400989
рук,1400589
нашел,1400415
смысл,1398901
постепенно,1395698
продолжал,1392517
смотреть,1391537
изменения,1390714
остальные,1389185
относительно,1388427
губы,1387259
движение,1385777
изъ,1385186
помню,1384212
двумя,1383808
увидеть,1383113
голова,1377628
примерно,1376781
вода,1372882
начало,1372363
конец,1366704
разумеется,1364038
ими,1363411
небо,1362827
отношений,1362244
чувства,1362003
мужчины,1361227
господин,1358879
стране,1357611
генерал,1357575
позволяет,1355384
видела,1352585
способ,1352365
люблю,1351997
суд,1347716
Москве,1347336
начали,1346092
боль,1345852
дороге,1343943
наше,1343713
другу,1341965
человеку,1340898
прекрасно,1339615
ред,1337272
хотите,1333650
ждать,1333180
твоя,1329946
цель,1327745
чем-то,1327132
рот,1326074
чему,1324779
данные,1323753
вашей,1322765
желание,1322460
первая,1320703
вероятно,1320658
крайней,1319489
рублей,1318484
искать,1314825
моему,1314228
работ,1313535
шаг,1311503
странно,1310387
которыми,1310342
нечто,1309377
план,1308810
муж,1307679
целью,1307040
русской,1305831
очевидно,1305296
окно,1304863
позже,1303606
речи,1302561
множество,1300486
большая,1300410
душе,1300271
огонь,1299834
ближе,1299831
памяти,1298995
дорогу,1298502
улице,1298449
сила,1297003
черт,1296024
последнее,1294033
спустя,1292427
отъ,1291279
говорила,1289584
личности,1288925
цвета,1288362
другую,1287428
исследования,1287405
внезапно,1285952
вечер,1282797
какие-то,1282752
большинство,1282075
внимательно,1281856
плечами,1277655
пора,1277622
функции,1277155
утра,1276779
душу,1274250
образ,1272195
стояла,1271761
статья,1271611
душа,1271603
декабря,1268035
молча,1265832
месяц,1264869
пошли,1264651
спиной,1264160
водой,1264051
девочка,1263158
отношение,1262528
временем,1258806
недавно,1256453
осторожно,1255237
первое,1254946
поводу,1254508
сторон,1254202
уровня,1253046
мужа,1252955
состав,1248675
остался,1247841
энергии,1247096
представляет,1246153
ума,1245085
концов,1242687
сердца,1240191
слышал,1237942
ряд,1233264
поднял,1233262
оказалась,1232630
пришла,1230335
целом,1229891
хочется,1229769
настоящее,1228541
службы,1228489
наоборот,1228058
что-нибудь,1227742
июля,1225810
зависимости,1224657
пожалуйста,1223175
вышла,1222794
спать,1222269
дороги,1221318
никому,1220386
уровне,1220251
опыт,1219609
верно,1217370
смог,1216417
стороне,1214381
доктор,1213050
трудом,1209976
вашего,1209678
ах,1208699
вести,1204574
вдоль,1203852
силой,1203773
языка,1203416
девушки,1203173
наверняка,1202849
шел,1202624
страх,1200800
машину,1199774
ваша,1197211
тяжело,1196529
будете,1195881
процессе,1194588
касается,1194180
решила,1193189
хуже,1193052
вряд,1192145
комнаты,1191400
дух,1190557
большую,1189330
когда-то,1186588
одному,1185799
считать,1184537
процесса,1183773
сон,1182335
оружие,1182090
уверен,1178529
положения,1177666
король,1177533
ветер,1176823
впереди,1176400
живет,1175254
немедленно,1175100
самому,1172691
новое,1172264
числа,1172115
писал,1171669
неделю,1169298
будь,1168903
одни,1168788
нравится,1168078
означает,1166639
почему-то,1165941
название,1165008
программы,1164404
правительства,1163413
основные,1161810
моим,1161518
твои,1161345
проблем,1159802
особенности,1159610
узнал,1158771
само,1158363
некоторое,1155597
стояли,1155446
третий,1155402
участие,1154723
показалось,1154680
боли,1154440
марта,1154196
делу,1154105
большие,1152867
страшно,1152404
папа,1152073
представить,1151545
мальчик,1150698
отсутствие,1150678
состоит,1150481
нужен,1150023
богу,1148730
всякий,1146689
руке,1145678
старик,1144710
встал,1144047
поздно,1142840
полной,1142262
двое,1141099
посмотрела,1138750
никакой,1138177
поверхности,1138022
задачи,1137215
память,1136376
старый,1136300
знали,1135808
большое,1135109
лично,1134579
ранее,1133905
сто,1132486
необходимости,1131924
месяца,1131374
большим,1129711
слезы,1128982
месяцев,1128920
совета,1127975
зависит,1127605
оказывается,1126725
небольшой,1126118
видели,1125606
линии,1124530
ног,1124478
содержание,1124130
естественно,1122544
действие,1121368
какое-то,1119984
частью,1116659
вон,1115471
оказались,1113455
информацию,1111842
состояния,1109765
законом,1108868
сильнее,1107957
факт,1107953
берегу,1107467
друзья,1107374
пытался,1107239
нужна,1105897
ушел,1104668
кофе,1103901
удар,1102333
прошу,1101948
самая,1101940
частности,1101855
отличие,1099759
увидела,1099118
открыл,1098806
иной,1098776
счастье,1097746
называется,1097121
времена,1095557
стола,1095014
историю,1094876
услуг,1094027
земля,1093817
громко,1092598
результаты,1092377
улыбнулась,1092162
собственно,1090698
влияние,1089473
любит,1087598
русского,1087195
языке,1086977
правила,1086340
шесть,1085592
пришли,1085075
системе,1083830
первых,1083431
июня,1083056
пожалуй,1083051
группа,1082103
качества,1080728
приходится,1080147
выбор,1079359
договора,1079261
нос,1077096
сел,1076560
вида,1075959
использования,1074200
русский,1073879
реализации,1073433
настоящего,1072746
приходилось,1070999
мнению,1070697
общего,1070409
природы,1070377
республики,1068963
события,1067414
предложил,1065974
пытаясь,1065696
царь,1065027
рука,1064961
угодно,1063514
полу,1062767
русских,1061689
война,1061172
мая,1060645
абсолютно,1060167
оттуда,1059059
государственного,1059024
думала,1058999
задача,1057976
начинает,1057671
стран,1056270
случайно,1055570
сознание,1055092
утро,1053004
автор,1052523
словом,1052115
собственной,1051529
надеюсь,1051386
этими,1051064
господа,1049365
нечего,1049017
появился,1047622
друзей,1046297
книгу,1045318
вздохнул,1044513
пример,1044468
судя,1043010
документы,1042867
обо,1042714
товаров,1042563
твоей,1040199
систему,1039713
следовательно,1039151
идеи,1038707
работает,1038443
остановился,1037224
согласился,1037181
поля,1036918
прошло,1036600
жил,1036584
партии,1036434
следующие,1036234
рано,1036212
результат,1035189
основном,1035005
решили,1034847
великий,1034595
нужны,1034148
хватит,1033728
теории,1032485
телефон,1030699
маленький,1029146
другая,1028717
сделала,1025984
вслед,1025735
сможет,1025265
родители,1022751
вопросов,1021286
шли,1021136
понимал,1019680
общения,1019218
проблема,1017682
мгновение,1017627
получается,1017164
другому,1016986
солдат,1016589
первом,1016525
любил,1014846
из-под,1014534
пошла,1013691
Господь,1013121
прежнему,1012720
грудь,1011658
руб,1010865
принимать,1009007
тысячи,1006389
хозяин,1006381
науки,1005789
нашу,1005766
момента,1005069
скажи,1004206
оставалось,1003971
свободы,1003947
письма,1003828
скажу,1002696
второго,1002245
брата,1001417
школы,1001175
Россия,999316
э,998724
семь,998166
нашли,997559
вошел,995456
ответа,994581
глубоко,994576
умер,994281
новую,994079
прошел,992625
поднялся,992468
общество,992232
иных,991911
знания,990808
нашем,990453
родителей,989744
бросил,988760
днем,988494
мистер,986991
пальцы,986272
минуты,985184
смотрела,984980
сведения,984056
область,983880
платье,982061
главным,980480
августа,979842
сверху,979494
операции,979070
буквально,978914
событий,978626
войска,978419
лес,977981
быстрее,977895
местах,976769
значительно,975322
понятия,975157
Москвы,975086
такими,974284
вторая,974134
пяти,973375
машина,972897
чувствовал,972124
знак,971963
идея,969891
господи,969666
твое,969484
посмотреть,969339
ногами,969186
сфере,969175
игры,969015
анализ,967084
понимаешь,966993
основных,966560
условий,966477
общей,965759
выйти,965703
объектов,963780
окончательно,962647
часы,961854
направлении,961342
сознания,960481
каждом,960373
честно,960342
давайте,959920
подумала,958597
имущества,955824
остались,954513
недели,954145
моем,953693
мужчин,953568
выражение,952944
вне,952469
защиты,951586
духа,950871
лежит,950745
рамках,950429
главе,950382
ноября,950282
октября,950219
продукции,950141
шла,948729
честь,948147
видов,947775
Москва,947518
вера,946218
данной,945794
главный,945743
бумаги,945526
почувствовал,944964
модели,944236
форма,944215
января,942538
князя,942497
отдельных,942485
центр,942323
пользу,940697
черный,939775
запах,939507
характера,939391
стене,939010
поведения,936834
серьезно,936453
предложение,936215
соответственно,935553
текст,934342
определить,934249
граждан,934067
различные,933799
плечи,932956
думаешь,932814
документов,931948
жаль,931213
дорогой,930675
основании,929972
создания,929905
жизнью,929473
форму,929183
взяла,928047
протянул,928036
спину,927895
зная,927574
онъ,927398
рождения,927309
солнца,926464
реки,925849
сказали,925204
легче,924566
противника,923891
услышал,923242
любого,923222
требования,922863
членов,921003
лицу,920873
кровати,920608
данном,920175
оставить,920077
принял,919889
воде,919251
особо,918271
пространство,916394
жены,916094
ка,915512
крепко,914248
союза,914187
церковь,914050
отлично,913588
отношению,913175
новая,912900
ею,912047
редко,911905
великого,911329
исключительно,911184
крайне,910595
знают,910439
заметила,909060
сделали,907611
мм,907505
видом,907153
навсегда,907128
государственных,906593
воздухе,905806
ребята,904723
тридцать,904557
меры,904377
короля,904058
голоса,902794
вспомнил,901422
плечо,900869
роли,900555
горы,900456
объяснить,900290
болезни,900128
порядка,899176
хороший,899172
вышли,898925
создание,898710
предприятия,897948
уйти,897472
слава,895914
политики,894907
мнение,894696
хотели,893794
находился,893426
видит,893176
вариант,893051
роста,892788
сентября,892745
усмехнулся,892401
животных,891369
книге,891241
впечатление,890648
государство,890319
моря,889728
круг,889155
вина,885962
организаций,885493
большого,884438
сети,882713
управление,882669
увидев,882474
собственности,880260
ждет,880130
преступления,879698
понятие,879180
данный,878969
столом,878842
появилась,878432
требует,878000
бизнес,875996
искусства,875970
создать,875723
совет,875581
целый,875097
ощущение,874431
центре,872855
обе,872019
широко,871710
какая-то,871277
видишь,871199
наук,871184
начать,870997
во-первых,867756
будучи,867349
встречи,867116
помимо,867015
воздуха,866896
Москву,866812
русские,866169
зубы,863801
имели,863620
страха,863437
иные,862915
обеспечения,862169
дыхание,862029
улыбкой,862004
возникает,861385
использование,861007
смотрит,860168
начальник,860132
определение,859486
метров,859096
составляет,858894
требуется,858299
судьба,858241
выходит,857789
включая,857607
камень,857606
добавить,856003
социальной,855765
семье,855672
позиции,855182
поговорить,854990
какую,854669
писать,854280
радость,854245
интерес,854085
работал,853216
пить,852166
больших,851796
больно,851702
отвечал,851347
делом,850867
большей,850447
суть,850033
основной,849868
дай,849498
апреля,849249
дали,849206
систем,848511
контроля,848404
твоего,848209
будущее,848093
улицу,847893
гости,847269
получилось,847223
ответственность,846737
раздался,846731
проведения,846698
вечера,846145
квартиру,844908
читать,844888
настоящий,844427
рабочих,844206
заранее,843957
непосредственно,843495
убить,842941
метод,842288
адрес,841439
показать,840918
лесу,840672
вещей,840444
делал,839463
жили,838924
скорость,838524
забыл,838208
звук,837403
ситуация,837113
сожалению,837048
многое,836799
ваших,836416
показал,836393
каждая,835532
ответственности,834692
информация,834008
элементов,833433
данного,833179
заниматься,832969
иди,832043
каких,831896
зал,831824
наличие,831147
леса,830933
школе,830292
близко,829993
цвет,829589
воскликнул,829202
знаем,828477
мною,827751
поведение,827237
рост,826604
дочери,826539
строго,826222
пишет,825995
сей,825437
ходе,824995
навстречу,824581
считал,824113
подумать,823607
каждое,822936
двор,822766
белый,822607
миг,822378
применения,822373
очередной,821907
Германии,820928
дворе,820926
оценки,820692
специально,820468
площади,820055
стараясь,819363
определяется,819106
ногу,819032
заключается,818956
проговорил,818816
добавил,818738
понимать,817669
дому,817439
тщательно,815930
целей,815669
делают,814808
ой,814189
девушку,812940
осталась,811597
сэр,811013
попросил,810845
рассказал,809802
колени,809515
секунду,808277
причины,807649
случаев,806964
появились,806208
правду,805822
собою,805702
края,805524
называют,804910
предложения,804419
рассказать,804217
сидела,804034
относится,803768
играть,803740
тотчас,803243
семья,802943
заявил,802145
придет,801505
ждал,801403
имеется,800060
ходить,800060
провести,800043
Франции,799175
нашим,799096
каждому,798462
роман,797932
органы,797916
среды,797528
ответить,797383
назвать,797347
тип,797202
приводит,796278
приятно,795881
мировой,795728
тени,794849
определения,794690
зовут,794573
представления,793720
любом,793581
сестра,793212
весело,793100
учетом,792742
способность,792517
лежал,790841
ныне,790530
приказ,789587
зря,789569
готовы,789344
царя,788987
виды,788858
попытался,788113
четырех,786314
тему,786297
ход,785885
желания,785753
дорога,785291
настоящей,785270
подход,784707
радости,784321
образование,784259
села,783524
кивнула,783050
боюсь,782746
класса,782612
порой,782332
полковник,781525
правил,781495
привести,781114
сидели,780632
повернулся,780395
остальных,779921
империи,779886
восемь,779735
высокий,779594
сорок,779167
получения,778669
сообщил,778596
словам,777496
высокой,777439
держать,777049
последнего,776871
кабинет,776622
проект,775994
ведет,775871
хотят,775766
произнесла,775713
вследствие,775569
проекта,775283
живут,775221
упал,775212
отчего,774553
граф,774304
исключением,773638
выход,773177
куда-то,772518
полный,772518
секунд,772324
внутрь,772101
поставить,771595
правительство,771230
обучения,771081
счастья,770939
февраля,770581
корабль,770280
список,770196
каким-то,769907
ехать,769298
подобно,769173
чай,768298
стоило,768136
обществе,767749
профессор,767227
революции,766262
оставил,765738
относятся,765083
пойдем,764901
мол,763161
договор,762940
простой,762792
написал,762218
приказал,760706
всякого,759600
остаться,758523
положил,758514
представление,758259
объекта,757244
удивился,757101
кого-то,757087
обратился,755975
возраста,755541
женщину,755180
целях,754657
экономики,754125
войск,752854
задач,752702
анализа,752701
форм,752335
впоследствии,751770
последних,751746
приехал,751712
бабушка,751494
выполнения,751226
рад,750823
необходимость,750685
итоге,750381
боже,749974
отправился,749558
товарищ,748368
контроль,748190
предмет,747195
шею,746072
изменений,745527
участников,744176
методы,743848
край,742474
здоровье,742345
вашим,742015
машине,741906
команды,741693
обоих,741251
пожал,740452
столе,740377
сидит,739884
модель,739550
находятся,739315
способности,738987
осуществляется,738209
воли,737601
положении,737575
пальцем,737445
единственный,737117
ситуацию,736321
компания,735943
прошлом,735932
начинается,735829
крикнул,734362
кодекса,734059
достал,733805
материалы,733188
действовать,732022
квартире,731482
пройти,731103
сомнения,730892
насчет,730560
позднее,729436
такъ,729290
возрасте,729019
пальцами,728839
дядя,728288
твою,727954
борьбы,727144
считает,726705
живой,726589
подобные,725947
трубку,725780
самим,725717
последней,725492
здоровья,725400
внизу,725152
войну,724745
везде,724108
организация,724090
объем,723084
вопроса,722936
во-вторых,722669
опасности,722020
решительно,721870
производство,721821
изменить,721740
следовало,721621
старший,721232
материалов,720681
принцип,719868
командир,719847
пара,719708
лестнице,719691
каком,719581
смотри,719556
смысла,719453
стоимость,719178
замок,718588
угол,718218
сути,718191
президента,718116
подошла,717427
собирался,716990
каждым,716440
пойти,716157
сидеть,715943
мест,714619
точнее,714037
работников,713560
границы,712974
никуда,712259
купить,712225
великой,711423
считается,710975
принято,710153
местного,709934
бой,709342
непременно,709079
ихъ,709012
причине,708986
снег,707582
попал,707458
рынка,706306
всяком,706078
процессов,705890
каждую,705784
пред,705518
решений,705508
оружия,705295
жену,704980
самую,704728
леди,704609
новым,703897
поставил,703825
проще,703161
книг,701734
углу,701323
сказано,701296
принялся,700701
постели,699091
невольно,698781
частей,698263
получили,698257
основания,698137
мгновенно,698113
темно,698063
идут,697639
какого,697224
обязанности,697171
рассказ,696963
хватает,696421
прости,695793
сотни,694891
чувств,694635
видите,694288
приходит,693932
войне,693392
верить,693058
субъектов,692111
общее,691970
гостей,691423
нередко,691100
сне,691026
имею,690978
содержания,690951
останется,690888
будущем,690476
знаний,690403
сравнению,689414
рынке,689289
ум,689084
миру,688997
поможет,688899
успела,688258
немало,687438
заметно,687380
полное,687147
свойства,687005
улицы,686857
пришло,685566
иное,685271
мин,684866
годов,684428
получится,684199
служить,683461
сего,683256
замуж,683228
результатов,682833
применение,682650
ряда,682078
хватало,681878
народов,681401
трое,680782
вздохнула,680758
